Original Name,Previous Names,Name,Code,Top Notes,Heart Notes,Base Notes,Full Notes,Short Notes,Memory,Description,Occasion,Price 50mL,Sample 30 mL
Dior Sauvage (EDT),Zenith Spice,Wild Blue / 01,FRSH/01,"calabrian bergamot, pepper","sichuan pepper, lavender, geranium","ambroxan, cedar, labdanum","calabrian bergamot, pepper, sichuan pepper, lavender, geranium, ambroxan, cedar, labdanum",bergamot · pepper · cedar,open desert,"A sharp fresh-spicy fragrance defined by bergamot and pepper, grounded in the warmth of ambroxan. Bold, modern, and magnetic.","daily wear, date night, all-season",799,
Cartier Déclaration,Iris Mist,Declaration / 02,SPC/02,"bergamot, neroli, bitter orange","cardamom, iris, ginger, cinnamon","vetiver, tea, cedar, leather, amber","bergamot, neroli, bitter orange, cardamom, iris, ginger, cinnamon, vetiver, tea, cedar, leather, amber",vetiver · iris · spice,ink and wood,"A sophisticated spicy-woody with a distinctive iris and vetiver drydown. Complex, refined and unmistakably classic.","work, formal, evening",799,
Calvin Klein Eternity for Men,Citrine Mist,Eternity Men / 03,FRSH/03,"lavender, lemon, bergamot","geranium, sage, basil","sandalwood, amber, musk","lavender, lemon, bergamot, geranium, sage, basil, sandalwood, amber, musk",lavender · herbs · musk,clean morning,A timeless aromatic fougere with a clean herbal heart and warm woody base. Universally pleasing and easy to wear.,"daily wear, work, all-season",799,
Chanel Bleu de Chanel (EDP),Blue Elegance,Bleu Noir / 04,WDS/04,"grapefruit, lemon, mint, bergamot, pink pepper","ginger, nutmeg, jasmine","incense, amber, cedar, sandalwood, patchouli, labdanum","grapefruit, lemon, mint, bergamot, pink pepper, ginger, nutmeg, jasmine, incense, amber, cedar, sandalwood, patchouli, labdanum",citrus · ginger · incense,tailored suit,"A refined woody-aromatic that balances crisp citrus with deep incense and amber woods. Sophisticated, versatile and eternally elegant.","work, formal, date night, all-season",799,
Gucci Bloom (EDP),Floral Veil,Bloom Rouge / 05,FLR/05,rangoon creeper,"tuberose, jasmine sambac, nandia flower","musk, sandalwood","rangoon creeper, tuberose, jasmine sambac, nandia flower, musk, sandalwood",sandal · jasmine · musk,garden at dusk,"A bold lush white floral built on tuberose and jasmine sambac. Rich, feminine and unapologetically full.","date night, evening, spring/summer",799,
Nautica Voyage (EDT),Ocean Drift,Voyage / 06,AQUA/06,"green leaves, apple","lotus, mimosa","musk, cedar, oakmoss, amber","green leaves, apple, lotus, mimosa, musk, cedar, oakmoss, amber",apple · lotus · cedar,open water,"A clean aquatic with a crisp apple-green opening and warm cedar-musk drydown. Fresh, affordable and crowd-pleasing.","daily wear, casual, spring/summer",799,
Tiziana Terenzi Kirke (Extrait),Lure of Kirke,Circe / 07,FRU/07,"passionfruit, peach, pear, raspberry, cassis",lily-of-the-valley,"musk, sandalwood, vanilla, heliotrope","passionfruit, peach, pear, raspberry, cassis, lily-of-the-valley, musk, sandalwood, vanilla, heliotrope",fruit · musk · vanilla,beach bar cocktail,A vibrant fruity-musk extrait bursting with tropical fruit and anchored in soft vanilla-sandalwood. A statement unisex with serious longevity.,"date night, evening, spring/summer",799,
Juicy Couture Viva La Juicy,Berry Bliss,Viva Juicy / 08,FRU/08,"wild berries, mandarin","honeysuckle, gardenia, jasmine","vanilla, caramel, sandalwood, musk","wild berries, mandarin, honeysuckle, gardenia, jasmine, vanilla, caramel, sandalwood, musk",berry · musk · caramel,candy blooms,"Sweet gourmand-floral with juicy berry top and vanilla-caramel drydown. Fun, youthful and highly wearable.","casual, daily wear, spring/summer",799,
Burberry Her (EDP),Opal Muse,Her Bloom / 09,FRU/09,"strawberry, blueberry, raspberry","jasmine, violet","amber, musk","strawberry, blueberry, raspberry, jasmine, violet, amber, musk",berry · violet · amber,city autumn,"A vibrant berry-floral with a warm musky amber finish. Youthful, addictive and a constant compliment-getter.","daily wear, casual, date night",799,
Lattafa Hayati Al Maleky,Regal Opus,Royal Hayati / 10,SPC/10,"pink pepper, bergamot, ginger, nutmeg","cedar, incense, labdanum","musk, ambergris, amber","pink pepper, bergamot, ginger, nutmeg, cedar, incense, labdanum, musk, ambergris, amber",cedar · incense · amber,royal smoke,"A bold oriental-spicy with pepper and bergamot over deep incense and warm amber. Rich, unisex and exceptional value.","evening, casual, date night",799,
Cristiano Ronaldo CR7,Floral Breeze,CR Seven / 11,FRSH/11,"lavender, cardamom, bergamot","tobacco, cinnamon, cedar, iris","vanilla, musk","lavender, cardamom, bergamot, tobacco, cinnamon, cedar, iris, vanilla, musk",iris · tobacco · vanilla,confident evening,"An aromatic fougere with a lavender-tobacco heart and smooth vanilla base. Warm, powdery and punches above its price.","date night, evening, casual",799,
Victoria's Secret Bombshell,Blossom Breeze,Bombshell / 12,FRU/12,"passionfruit, grapefruit, strawberry, tangerine","peony, vanilla orchid, jasmine","musk, woody notes","passionfruit, grapefruit, strawberry, tangerine, peony, vanilla orchid, jasmine, musk, woody notes",fruit · peony · musk,summer glow,"A bright fruity-floral with a tropical burst that dries into soft floral musk. Vibrant, feminine and instantly recognizable.","casual, daily wear, spring/summer",799,
YSL Mon Paris,Paris Éclat,Belle Paris / 13,FRU/13,"strawberry, raspberry, pear, bergamot","datura, peony, jasmine sambac","white musk, ambroxan, patchouli","strawberry, raspberry, pear, bergamot, datura, peony, jasmine sambac, white musk, ambroxan, patchouli",berry · peony · musk,city night,A modern chypre-fruity floral with a dazzling berry opening and a provocative patchouli base. Seductive and Parisian.,"date night, evening, casual",799,
Davidoff Cool Water,Aqua Current,Ocean Drift / 14,AQUA/14,"mint, lavender, coriander","geranium, neroli, jasmine","amber, musk, cedar, sandalwood","mint, lavender, coriander, geranium, neroli, jasmine, amber, musk, cedar, sandalwood",mint · aquatic · woods,cold wave,A pioneering aquatic defined by cool mint and aromatic herbs over a warm woody-musk base. Crisp and enduringly versatile.,"daily wear, casual, work",799,
African Oud Blend,Obsidian Oud,Oud Noir / 15,OUD/15,"saffron, bergamot","rose, oud","sandalwood, musk, amber","saffron, bergamot, rose, oud, sandalwood, musk, amber",oud · saffron · amber,dusk smoke,"A rich African-inspired oud with saffron and rose over warm amber and sandalwood. Deep, smoky and mesmerizing.","evening, occasions, fall/winter",799,
Cuban Cigar Accord,Velvet Tobacco,Havana / 16,SMK/16,"bergamot, rum","tobacco, leather, cedarwood","vanilla, amber, oakmoss","bergamot, rum, tobacco, leather, cedarwood, vanilla, amber, oakmoss",tobacco · leather · rum,private lounge,"A bold fragrance evoking rum, tobacco and aged leather with a warm vanilla-amber drydown. Confident, sensuous and unmistakable.","evening, date night, fall/winter",799,
Ahla Sabaya,Golden Sanaya,Sanaya / 17,FLR/17,"bergamot, citrus","rose, jasmine, oud","musk, amber, sandalwood","bergamot, citrus, rose, jasmine, oud, musk, amber, sandalwood",rose · oud · amber,warm intimacy,"A Middle Eastern floral-woody balancing jasmine and rose with rich oud and warm amber musk. Intimate, warm and long-lasting.","evening, date night, casual",799,
Burberry Weekend Men,Berry Weekend,Weekend Men / 18,CIT/18,"lemon, grapefruit, bergamot, pineapple, melon","ivy, oakmoss, sandalwood","honey, musk, amber","lemon, grapefruit, bergamot, pineapple, melon, ivy, oakmoss, sandalwood, honey, musk, amber",citrus · green · musk,slow saturday,"A citrus-driven casual with a fresh fruity opening and warm honey-musk drydown. Easy, relaxed and supremely wearable.","casual, daily wear, spring/summer",799,
Dunhill Icon Absolute,Alfred Absolute,Icon Absolute / 19,OUD/19,"black pepper, bergamot","saffron, black rose, jasmine","oud, leather, tobacco","black pepper, bergamot, saffron, black rose, jasmine, oud, leather, tobacco",pepper · oud · leather,dark power,"A dark oriental woody with saffron and black rose over deep oud and leather. Bold, masculine and unforgettable.","evening, formal, date night",799,
Diptyque Tam Dao (EDP),Silent Santal,Dao Wood / 20,WDS/20,"cypress, spices","myrtle, rosewood, sandalwood","sandalwood, white musk, cedar","cypress, spices, myrtle, rosewood, sandalwood, white musk, cedar",sandal · cedar · spice,ancient forest,"A serene woody fragrance centered on precious sandalwood and cedar. Calm, natural and beautifully understated.","casual, daily wear, work",799,
Dunhill Icon,Alfred Iconic,Icon / 21,WDS/21,"grapefruit, bergamot, juniper","rose, guaiac wood","vetiver, musk, sandalwood, cedar","grapefruit, bergamot, juniper, rose, guaiac wood, vetiver, musk, sandalwood, cedar",citrus · wood · vetiver,first impression,"A fresh woody aromatic with crisp citrus opening and a sophisticated rose-wood heart. Clean, modern and quietly impressive.","work, casual, date night",799,
Ajmal Mizyaan,Elyaan,Mizan / 22,OUD/22,"saffron, spices","rose, jasmine, oud","musk, ambergris, sandalwood","saffron, spices, rose, jasmine, oud, musk, ambergris, sandalwood",saffron · oud · musk,amber tradition,"An authentic oriental attar with creamy saffron and sandalwood accord. Traditional, deeply complex and exceptional value.","evening, date night, occasions",799,
MM Replica Jazz Club,None,Night Lounge / 23,JZC/23,"pink pepper, neroli, lemon","rum, vetiver, clary sage","tobacco leaf, vanilla, styrax","pink pepper, neroli, lemon, rum, vetiver, clary sage, tobacco leaf, vanilla, styrax",rum · tobacco · vanilla,dim jazz bar,A warm-spicy fragrance inspired by a Brooklyn jazz club. Rum and tobacco over soft vanilla - intimate and effortlessly cool.,"evening, date night, fall/winter",799,
GA Acqua Di Gio,None,Blue Sea / 24,AQUA/24,"lime, lemon, bergamot, neroli, mandarin","sea notes, jasmine, rosemary, calone","white musk, cedar, patchouli, amber","lime, lemon, bergamot, neroli, mandarin, sea notes, jasmine, rosemary, calone, white musk, cedar, patchouli, amber",citrus · marine · musk,mediterranean sea,The iconic aquatic that started a revolution. Bright citrus and sea spray dry into a warm woody musk. Universally loved and effortlessly wearable.,"daily wear, casual, spring/summer",799,
Initio - Oud for Greatness,None,Majestic Oud / 25,OUD/25,"saffron, nutmeg, lavender",agarwood (oud),"patchouli, musk","saffron, nutmeg, lavender, agarwood (oud), patchouli, musk",spicy · oud · woody,mystical energy,"A captivating and luxurious masterpiece centered around natural agarwood oil. Rich saffron and warm spices elevate a dark, powerful woodiness into a refined, majestic statement scent.","formal events, evening wear, winter/autumn",799,
Rose d'Isparta Boucheron (Rosparta),None,Rose City / 26,FLR/26,"incense, ginger, ambrette","turkish rose, saffron, cinnamon, hawthorn, freesia","vanilla, amber, tonka bean, sandalwood, musk","incense, ginger, ambrette, turkish rose, saffron, cinnamon, hawthorn, freesia, vanilla, amber, tonka bean, sandalwood, musk",warm · rose · amber,city of roses,"A breathtaking, opulent tribute to the rose-laden landscapes of Isparta. Smoky incense and vibrant ginger swirl into a luxurious heart of spiced Turkish rose, resting on a velvety base of amber warmth and creamy sandalwood.","evening wear, formal, autumn/winter",799,
LV Ombre Nomade,None,Leather Fog / 28,LDR/27,"raspberry, saffron, geranium","agarwood (oud), rose, incense","leather, benzoin, birch, amberwood","raspberry, saffron, geranium, agarwood (oud), rose, incense, leather, benzoin, birch, amberwood",smoky · oud · fruity,desert odyssey,"A masterfully dark and intoxicating journey into the heart of the desert. Piercing raspberry and sharp saffron cut through a massive, smoky core of natural oud and incense, leaving a legendary leather trail.","evening wear, statement, winter/autumn",799,
Creed Aventus,Cedar and Oakmoss,Oak Essence / 26,WDS/28,"bergamot, black currant, apple, lemon, pink pepper","pineapple, patchouli, moroccan jasmine","birch, musk, oak moss, cedarwood, ambroxan","bergamot, black currant, apple, lemon, pink pepper, pineapple, patchouli, moroccan jasmine, birch, musk, oak moss, cedarwood, ambroxan",fruity · woody · smoky,emperor's vision,"A legendary masterpiece celebrating strength and success. It opens with a vibrant burst of pineapple and bergamot, evolving into a dark, smoky heart of birch and patchouli, finally resting on a majestic base of cedarwood and deep oakmoss.","signature scent, office, formal events",799,
Vanilla Luxe,None,Vanilla Luxe / 01,VAN/01,"vanilla, brown sugar","orchid, tonka bean","amber, sandalwood, musk","vanilla, brown sugar, orchid, tonka bean, amber, sandalwood, musk",vanilla · amber · musk,golden maturation,"A smooth vanilla built around warmth and softness. Skin-close, sweet and deeply addictive.",Daily Wear,18500,11100
White Bloom,None,White Bloom / 07,FLR/07,"tuberose, jasmine","gardenia, honeysuckle","musk, sandalwood","tuberose, jasmine, gardenia, honeysuckle, musk, sandalwood",tuberose · jasmine · musk,monastic devotion,Dense white florals - natural, grand, and full. Rich spring bloom captured without any sharp edges.,"Day, Signature",21000,12600
Oud Royal,None,Oud Royal / 09,OUD/09,"indonesian oud, saffron","leather, pepper, spice","resin, amber, sandalwood","indonesian oud, saffron, leather, resin, pepper, spice, amber, sandalwood",oud · saffron · leather,sovereign essence,"A deep, sovereign essence constructed around pure Indonesian Oud wood. Maturing in silence for twelve months, it is lifted with Kashmir Saffron, peppered with warm spices, and wrapped in rich, masculine leather and dark resin.",Signature,24000,
Dark Amber,None,Dark Amber / 12,AMB/12,"amber, incense","pepper, labdanum","cedar, vetiver, musk","amber, incense, pepper, labdanum, cedar, vetiver, musk",amber · incense · musk,winter evening,"Dark, smoky, and deep. Built for strong presence and long-lasting trail.","Evening, Winter",26500,15900
Oud Intense,None,Oud Intense / 15,OUDI/15,"oud, leather","pepper, cardamom","patchouli, amber, sandalwood","oud, leather, pepper, cardamom, patchouli, amber, sandalwood",oud · leather · amber,quiet dominance,"Strong oud composition with spicy lift and smooth base. Power held back, quiet dominance.","Luxury, Evening",28000,16800